185.177.72.61 - - [10/Apr/2026:11:10:16 +0000] "GET /.env.testing.local HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:16 +0000] "GET /config.json HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
185.177.72.61 - - [10/Apr/2026:11:10:17 +0000] "GET /.env HTTP/1.1" 301 162 "-" "l9explore/1.2.2" "-"
::1 - - [10/Apr/2026:11:10:21 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:10:51 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:11:21 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
120.48.32.130 - - [10/Apr/2026:11:11:22 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 150 "-" "-" "-"
::1 - - [10/Apr/2026:11:11:51 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
120.48.32.130 - - [10/Apr/2026:11:11:54 +0000] "POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1" 400 150 "-" "-" "-"
120.48.32.130 - - [10/Apr/2026:11:12:09 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 301 162 "-" "libredtail-http" "-"
::1 - - [10/Apr/2026:11:12:21 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:12:51 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:13:21 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:13:52 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:14:22 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:14:52 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:15:22 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:15:52 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:16:22 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:16:52 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:17:22 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
49.51.243.95 - - [10/Apr/2026:11:17:27 +0000] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
::1 - - [10/Apr/2026:11:17:53 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:18:23 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
20.74.212.144 - - [10/Apr/2026:11:18:41 +0000] "POST /cgi-bin/admin/setparam.cgi HTTP/1.1" 400 150 "-" "-" "-"
::1 - - [10/Apr/2026:11:18:53 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:19:23 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:19:53 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:20:23 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:20:53 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:21:24 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:21:54 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:22:24 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:22:54 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:23:24 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:23:54 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:24:24 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:24:54 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:25:25 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:25:55 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:26:25 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:26:55 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:27:25 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:27:55 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:28:25 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:28:56 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:29:26 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:29:56 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:30:26 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:30:56 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:31:26 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:31:56 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:32:26 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:32:57 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:33:27 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:33:57 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:34:27 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:34:57 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
::1 - - [10/Apr/2026:11:35:27 +0000] "GET /health HTTP/1.1" 301 162 "-" "Wget" "-"
